,Period,Year,Month,Location,Gender,Marital-status,Age-group,Occupation,Income-Level," Personal-Hygiene (eg Soap, toothpaste)",Cleaning-products ,"Fresh-groceries (Fruits, vegetables)",Medicines-Natural-remedies,Alcohol-beverages,Skin-care (eg. Body lotion),Hair-care (eg. Shampoo),"Entertainment (eg. Restaurants, movies)","Beauty (eg Makeup, cosmetics, haircuts)",Clothing,Airtime-Data-bundles
3580,20/10/2021,2021,10,N16,Female,Married,Millennials,Business owner ,Low Income,More,More,More,Same,Not sure,Same,Same,Same,Same,Same,More
3581,20/10/2021,2021,10,N34,Male,Married,Millennials,Salaried employee,Low Income,Same,Same,Same,Less,Less,Less,Same,Same,Less,Less,Less
3582,20/10/2021,2021,10,N34,Male,Single,Millennials,Salaried employee,Middle Income,Less,Less,Less,Same,Less,Less,Less,Less,Less,Less,Less
3583,20/10/2021,2021,10,N14,Female,Married,Millennials,Business owner ,Low Income,Same,Same,Same,Same,Same,Same,Same,Less,Same,Same,Same
3584,20/10/2021,2021,10,N14,Female,Single,Millennials,Salaried employee,Low Income,Same,Same,Same,Less,Not sure,Same,Same,Less,Less,Less,Same
3585,20/10/2021,2021,10,N34,Female,Single,Millennials,Salaried employee,Low Income,Less,Less,Less,Less,Same,Less,Less,Not sure,Less,Less,Less
3586,20/10/2021,2021,10,N25,Male,Married,Gen X,Business owner ,Middle Income,Less,Less,Less,Less,Not sure,Less,Not sure,Not sure,Less,Less,Same
3587,20/10/2021,2021,10,N14,Female,Dating,Millennials,Student ,Low Income,Same,Same,Same,Less,Less,Same,Same,Less,Same,Less,Same
3588,20/10/2021,2021,10,N34,Female,Married,Gen X,Business owner ,Middle Income,Less,Less,Less,Not sure,Less,Not sure,Not sure,More,Not sure,Less,Less
3589,20/10/2021,2021,10,N14,Male,Dating,Baby Boomers,Unemployed,Middle Income,Same,Same,Same,Same,Less,Not sure,Not sure,Less,Not sure,Less,Same
3590,20/10/2021,2021,10,N34,Male,Dating,Millennials,Salaried employee,Middle Income,Same,Less,Less,Less,Less,Less,Less,Less,More,Less,Less
3591,20/10/2021,2021,10,N14,Male,Married,Millennials,Business owner ,Low Income,Same,Same,Less,Less,Less,Not sure,Not sure,Less,Less,Less,Less
3592,20/10/2021,2021,10,N34,Male,Married,Millennials,Salaried employee,Low Income,Less,Less,Same,Less,Not sure,Not sure,Not sure,Same,Not sure,Less,Less
3593,20/10/2021,2021,10,N34,Male,Single,Millennials,Salaried employee,Low Income,Same,Same,Less,Same,Less,Not sure,More,Less,Not sure,Less,Less
3594,20/10/2021,2021,10,N13,Male,Married,Gen X,Salaried employee,Middle Income,Same,Same,More,Same,Less,Less,Less,Less,Less,Less,Same
3595,20/10/2021,2021,10,N34,Female,Married,Millennials,Salaried employee,Low Income,Less,Less,Less,Less,Less,Same,Less,Same,Less,Less,Less
3596,20/10/2021,2021,10,N13,Female,Married,Gen X,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3597,20/10/2021,2021,10,N34,Male,Dating,Millennials,Salaried employee,Low Income,Same,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less
3598,20/10/2021,2021,10,N34,Female,Single,Millennials,Salaried employee,Middle Income,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less
3599,20/10/2021,2021,10,N13,Female,Single,Millennials,Unemployed,Low Income,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less
3600,20/10/2021,2021,10,N25,Male,Married,Baby Boomers,Self employed/Contractor,Middle Income,Less,Less,More,Not sure,Less,Same,Not sure,Not sure,Less,Less,More
3601,20/10/2021,2021,10,N48,Female,Dating,Gen X,Salaried employee,Middle Income,Same,Less,Same,Less,More,Same,Less,Not sure,Same,More,Same
3602,20/10/2021,2021,10,N48,Male,Married,Millennials,Salaried employee,Low Income,More,Less,More,Less,Same,Less,Less,More,Less,Same,Same
3603,20/10/2021,2021,10,N48,Male,Single,Gen X,Business owner ,Middle Income,More,Less,Not sure,Same,Not sure,Less,Less,More,More,Same,More
3604,20/10/2021,2021,10,N40,Male,Single,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3605,20/10/2021,2021,10,N20,Female,Single,Millennials,Student ,Low Income,Same,Less,More,Less,Not sure,Less,Not sure,Less,Same,Less,Same
3606,20/10/2021,2021,10,N43,Male,Cohabiting,Millennials,Unemployed,Low Income,Less,Less,Less,Not sure,Not sure,Not sure,Not sure,Less,Not sure,Less,Less
3607,20/10/2021,2021,10,N25,Female,Married,Millennials,Salaried employee,Middle Income,Same,Same,Same,Less,Not sure,Same,Less,Not sure,Less,Less,Same
3608,20/10/2021,2021,10,N25,Female,Divorced/Separated/Widowed,Gen X,Self employed/Contractor,Middle Income,Less,Less,Same,Less,Not sure,Same,Less,Not sure,Less,Less,Same
3609,20/10/2021,2021,10,N40,Male,Married,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3610,20/10/2021,2021,10,N25,Female,Married,Gen X,Self employed/Contractor,Middle Income,More,More,Same,Less,Not sure,Same,Less,Not sure,Less,Same,Same
3611,20/10/2021,2021,10,N43,Female,Married,Gen X,Salaried employee,Middle Income,More,Same,Same,Same,Not sure,More,More,Less,Same,More,More
3612,20/10/2021,2021,10,N25,Male,Married,Gen X,Business owner ,High Income,Same,More,More,Not sure,Not sure,Same,Less,Not sure,Less,Same,More
3613,20/10/2021,2021,10,N48,Male,Dating,Gen X,Salaried employee,Middle Income,More,Same,More,Not sure,Same,Less,Not sure,Not sure,Same,More,More
3614,20/10/2021,2021,10,N48,Female,Cohabiting,Gen X,Self employed/Contractor,Middle Income,Same,More,More,More,Not sure,Less,Same,More,More,More,Not sure
3615,20/10/2021,2021,10,N48,Female,Dating,Millennials,Salaried employee,Middle Income,Less,Same,Less,Same,Same,Less,Not sure,Not sure,More,Same,More
3616,20/10/2021,2021,10,N48,Male,Single,Gen Z,Student ,Middle Income,More,Less,Less,Less,Not sure,Same,Less,More,More,Same,More
3617,20/10/2021,2021,10,N48,Male,Married,Gen X,Self employed/Contractor,Low Income,More,Same,Less,Not sure,Not sure,Less,Same,More,More,Same,More
3618,20/10/2021,2021,10,N48,Female,Dating,Millennials,Unemployed,Low Income,More,Less,More,Not sure,Same,Less,More,More,More,Same,More
3619,20/10/2021,2021,10,N48,Male,Dating,Millennials,Salaried employee,Middle Income,Not sure,Same,Less,Less,Not sure,Same,Less,More,More,More,More
3620,20/10/2021,2021,10,N25,Female,Divorced/Separated/Widowed,Gen X,Salaried employee,Middle Income,Same,Same,More,Less,Not sure,Same,Less,Not sure,Less,Same,More
3621,20/10/2021,2021,10,N43,Male,Dating,Millennials,Unemployed,Low Income,More,More,More,More,Less,Less,Less,Same,Less,Less,Less
3622,20/10/2021,2021,10,N42,Female,Married,Baby Boomers,Business owner ,Middle Income,More,More,Same,More,More,Same,More,Same,Same,More,More
3623,20/10/2021,2021,10,N42,Female,Married,Baby Boomers,Salaried employee,Middle Income,More,More,More,More,More,More,Same,More,Same,More,More
3624,20/10/2021,2021,10,N42,Female,Cohabiting,Baby Boomers,Salaried employee,Middle Income,More,More,More,More,More,More,More,Same,Same,More,More
3625,20/10/2021,2021,10,N36,Female,Married,Gen Z,Student ,Middle Income,More,More,More,Less,Less,Same,Same,Less,Less,Less,Same
3626,20/10/2021,2021,10,N42,Female,Married,Baby Boomers,Business owner ,Middle Income,More,Same,More,More,More,More,More,More,More,More,More
3627,20/10/2021,2021,10,N14,Female,Married,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Not sure,Same,Same,Less,Same,Less,Same
3628,20/10/2021,2021,10,N42,Female,Dating,Baby Boomers,Salaried employee,High Income,Same,More,More,More,More,More,More,More,More,More,More
3629,20/10/2021,2021,10,N14,Female,Cohabiting,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Less,Same,Same,Same
3630,20/10/2021,2021,10,N42,Male,Single,Baby Boomers,Salaried employee,Middle Income,More,More,Less,More,More,Same,More,More,Same,Less,More
3631,20/10/2021,2021,10,N36,Male,Married,Gen X,Business owner ,Low Income,Less,Less,Not sure,Less,Not sure,Less,Less,Not sure,Less,Less,Same
3632,20/10/2021,2021,10,N14,Male,Single,Millennials,Salaried employee,Low Income,Same,Same,Same,Less,Less,Not sure,Not sure,Less,Less,Less,Same
3633,20/10/2021,2021,10,N42,Male,Single,Baby Boomers,Salaried employee,Middle Income,Same,More,Same,Less,More,Same,More,More,More,More,Same
3634,20/10/2021,2021,10,N42,Male,Cohabiting,Baby Boomers,Salaried employee,Middle Income,Same,Not sure,Less,More,Same,Not sure,More,Same,Less,More,More
3635,20/10/2021,2021,10,N36,Female,Married,Millennials,Salaried employee,Middle Income,More,More,More,Same,Not sure,Same,Same,Not sure,Less,Less,More
3636,20/10/2021,2021,10,N14,Male,Cohabiting,Millennials,Business owner ,Low Income,Same,Same,Same,Same,Same,Not sure,Not sure,Less,Not sure,Same,Same
3637,20/10/2021,2021,10,N14,Female,Single,Gen Z,Student ,Low Income,Same,Same,Less,Same,Not sure,Less,Not sure,Less,Not sure,Less,Same
3638,20/10/2021,2021,10,N42,Male,Single,Baby Boomers,Self employed/Contractor,Middle Income,More,Not sure,Less,Same,More,Same,Same,More,More,More,Not sure
3639,20/10/2021,2021,10,N14,Female,Married,Gen X,Business owner ,Middle Income,Same,Same,Same,Same,Same,Same,Same,Less,Same,Same,Same
3640,20/10/2021,2021,10,N36,Male,Married,Millennials,Salaried employee,Middle Income,Same,Same,Less,Same,Less,Same,Less,Less,Less,Less,Less
3641,20/10/2021,2021,10,N42,Male,Single,Baby Boomers,Salaried employee,Middle Income,More,Same,Same,More,Same,Less,Same,More,More,Same,Less
3642,20/10/2021,2021,10,N14,Female,Cohabiting,Gen X,Salaried employee,Middle Income,Same,Same,Less,Less,Same,Same,Same,Less,Same,Same,Same
3643,20/10/2021,2021,10,N14,Male,Divorced/Separated/Widowed,Gen X,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Not sure,Not sure,Same,Not sure,Same,Same
3644,20/10/2021,2021,10,N14,Female,Married,Gen X,Self employed/Contractor,Middle Income,Same,Same,Same,More,Same,Same,Same,Same,Same,Same,More
3645,20/10/2021,2021,10,N36,Female,Dating,Gen X,Business owner ,Middle Income,More,More,More,Same,Not sure,More,Same,Not sure,Not sure,Not sure,More
3646,20/10/2021,2021,10,N13,Female,Single,Gen Z,Student ,Middle Income,Less,Less,Less,Less,Not sure,Less,Less,Less,Less,Less,Same
3647,20/10/2021,2021,10,N36,Female,Divorced/Separated/Widowed,Gen X,Self employed/Contractor,High Income,More,More,More,Not sure,Not sure,Same,Same,Same,Less,Less,Same
3648,20/10/2021,2021,10,N13,Female,Single,Millennials,Student ,Middle Income,Same,Same,Same,Same,Less,Less,Less,Less,Less,Less,Less
3649,20/10/2021,2021,10,N36,Male,Married,Baby Boomers,Business owner ,Middle Income,Same,Same,Same,More,Not sure,Same,Less,Less,Less,Same,More
3650,20/10/2021,2021,10,N36,Male,Single,Millennials,Self employed/Contractor,Low Income,Less,Less,Less,Less,Less,Less,Less,Less,Less,Not sure,Less
3651,20/10/2021,2021,10,N13,Male,Dating,Gen X,Self employed/Contractor,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3652,20/10/2021,2021,10,N36,Female,Cohabiting,Baby Boomers,Self employed/Contractor,High Income,Same,Same,More,Same,Not sure,Same,Less,Not sure,Less,Less,Same
3653,20/10/2021,2021,10,NK1,Female,Single,Millennials,Business owner ,Low Income,Same,Same,More,Not sure,Not sure,Same,Same,Less,Same,Less,Same
3654,20/10/2021,2021,10,N36,Female,Divorced/Separated/Widowed,Baby Boomers,Self employed/Contractor,Low Income,Same,Same,Same,Not sure,Same,Same,Same,Less,Less,Less,Same
3655,20/10/2021,2021,10,NK1,Male,Dating,Millennials,Salaried employee,Middle Income,Same,Same,More,Same,Same,Same,Same,Same,Same,Same,More
3656,20/10/2021,2021,10,N36,Female,Divorced/Separated/Widowed,Baby Boomers,Unemployed,Middle Income,Same,Same,Same,Same,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure
3657,20/10/2021,2021,10,NK1,Female,Single,Millennials,Salaried employee,Middle Income,Same,More,Same,Same,Same,More,Same,Not sure,Same,Same,Same
3658,20/10/2021,2021,10,N36,Male,Dating,Millennials,Self employed/Contractor,Middle Income,More,More,More,More,More,More,More,Not sure,More,More,More
3659,20/10/2021,2021,10,N36,Female,Divorced/Separated/Widowed,Baby Boomers,Unemployed,High Income,Same,Same,More,Less,Less,Same,Less,Less,Less,Less,Same
3660,20/10/2021,2021,10,NK1,Male,Divorced/Separated/Widowed,Gen X,Self employed/Contractor,High Income,Same,Same,Same,Less,Less,Less,Less,Same,Same,Same,Same
3661,20/10/2021,2021,10,N36,Male,Married,Baby Boomers,Self employed/Contractor,High Income,More,More,More,More,More,More,More,More,More,More,More
3662,20/10/2021,2021,10,NK1,Male,Dating,Millennials,Business owner ,Middle Income,More,More,More,More,More,More,More,Same,Same,More,Same
3663,20/10/2021,2021,10,NK1,Female,Divorced/Separated/Widowed,Gen X,Stay-at-home mom or dad,Low Income,Less,Less,Less,Less,Less,Less,Less,Less,Same,Same,Same
3664,20/10/2021,2021,10,NK1,Female,Single,Millennials,Self employed/Contractor,High Income,More,More,More,Same,Same,Same,Same,Same,More,More,More
3665,20/10/2021,2021,10,NK1,Male,Single,Millennials,Salaried employee,Low Income,Same,Same,Same,Less,Less,Same,Less,Same,Less,Same,Same
3666,20/10/2021,2021,10,N13,Female,Cohabiting,Gen X,Unemployed,Middle Income,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less
3667,20/10/2021,2021,10,NK1,Female,Married,Millennials,Unemployed,Low Income,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less
3668,20/10/2021,2021,10,NK1,Male,Dating,Millennials,Business owner ,Middle Income,Same,Same,Same,Same,More,Not sure,More,More,More,More,More
3669,20/10/2021,2021,10,NK1,Male,Married,Millennials,Business owner ,Middle Income,More,More,More,More,More,More,More,More,More,More,More
3670,20/10/2021,2021,10,NK1,Male,Single,Millennials,Business owner ,Low Income,Same,Same,Same,Less,Less,Less,Less,Same,Same,Less,Less
3671,20/10/2021,2021,10,NK1,Female,Single,Gen Z,Business owner ,Low Income,Same,Same,Same,Less,Same,Same,More,More,More,More,More
3672,20/10/2021,2021,10,NK1,Male,Single,Millennials,Salaried employee,High Income,More,More,More,More,More,More,More,More,More,More,More
3673,20/10/2021,2021,10,NK1,Female,Married,Millennials,Salaried employee,Middle Income,More,More,Same,Same,Same,More,More,More,Same,Same,Same
3674,20/10/2021,2021,10,NK1,Female,Married,Millennials,Salaried employee,Low Income,Same,More,Same,Less,Less,Same,Same,Same,Same,Same,Same
3675,20/10/2021,2021,10,NK1,Female,Single,Gen Z,Salaried employee,Middle Income,Same,Same,Same,Same,More,More,Same,Same,Same,Same,Same
3676,20/10/2021,2021,10,N5,Female,Married,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3677,20/10/2021,2021,10,N5,Male,Married,Gen X,Self employed/Contractor,Middle Income,Same,Same,Same,More,More,More,Same,Same,Same,Same,Same
3678,20/10/2021,2021,10,N5,Male,Married,Millennials,Self employed/Contractor,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3679,20/10/2021,2021,10,N5,Female,Married,Gen Z,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3680,20/10/2021,2021,10,N5,Male,Married,Gen X,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3681,20/10/2021,2021,10,N13,Female,Single,Gen Z,Student ,Middle Income,Same,Same,Same,Same,Same,Same,Less,Less,Less,Less,More
3682,20/10/2021,2021,10,N5,Female,Married,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3683,20/10/2021,2021,10,N5,Male,Married,Millennials,Self employed/Contractor,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3684,20/10/2021,2021,10,N13,Male,Married,Baby Boomers,Self employed/Contractor,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3685,20/10/2021,2021,10,N13,Female,Single,Millennials,Student ,Middle Income,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less
3686,20/10/2021,2021,10,N28,Female,Single,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3687,20/10/2021,2021,10,N28,Male,Dating,Millennials,Business owner ,Middle Income,Same,Same,Same,Same,Less,Less,Less,Less,Same,Same,Same
3688,20/10/2021,2021,10,N28,Female,Divorced/Separated/Widowed,Gen X,Salaried employee,Middle Income,Same,More,Same,More,Less,Same,Same,Same,Same,Same,Same
3689,20/10/2021,2021,10,N13,Male,Divorced/Separated/Widowed,Baby Boomers,Salaried employee,Middle Income,Same,Same,Same,Same,Less,Less,Not sure,Less,Less,Less,More
3690,20/10/2021,2021,10,N28,Male,Divorced/Separated/Widowed,Baby Boomers,Self employed/Contractor,Low Income,More,More,Less,Less,Less,Same,Less,Less,Less,Less,Same
3691,20/10/2021,2021,10,N13,Female,Married,Gen X,Unemployed,Middle Income,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less
3692,20/10/2021,2021,10,N43,Male,Married,Gen X,Business owner ,Low Income,Same,Same,Same,Less,Less,Less,Less,Same,Less,Same,More
3693,20/10/2021,2021,10,N28,Male,Dating,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3694,20/10/2021,2021,10,N37,Male,Married,Millennials,Business owner ,Middle Income,Same,Same,Same,Same,Not sure,Not sure,Same,Less,Same,Same,Same
3695,20/10/2021,2021,10,N13,Male,Single,Millennials,Unemployed,Middle Income,Same,Same,Same,Less,Less,Same,Less,Less,Less,Less,Same
3696,20/10/2021,2021,10,N37,Female,Single,Gen Z,Salaried employee,Middle Income,More,Less,Same,Same,Same,Same,Same,Same,Same,Same,Same
3697,20/10/2021,2021,10,N37,Female,Single,Gen Z,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3698,20/10/2021,2021,10,N37,Female,Single,Millennials,Business owner ,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3699,20/10/2021,2021,10,N37,Male,Single,Millennials,Student ,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3700,20/10/2021,2021,10,N37,Male,Married,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3701,20/10/2021,2021,10,N13,Female,Single,Millennials,Unemployed,Middle Income,Same,Same,Same,Same,Same,Same,Less,Not sure,Not sure,Less,Less
3702,20/10/2021,2021,10,N37,Female,Single,Gen Z,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3703,20/10/2021,2021,10,N13,Male,Single,Millennials,Unemployed,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3704,20/10/2021,2021,10,N37,Female,Single,Millennials,Student ,Low Income,More,More,Same,Same,Not sure,Same,Less,Not sure,Not sure,More,More
3705,20/10/2021,2021,10,N37,Male,Single,Millennials,Business owner ,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3706,20/10/2021,2021,10,N37,Male,Single,Millennials,Student ,Low Income,Same,Same,Same,More,Same,Same,Same,Same,Not sure,More,More
3707,20/10/2021,2021,10,N47,Male,Married,Gen X,Self employed/Contractor,Middle Income,Same,Same,Same,Not sure,Less,Less,Less,Less,Less,Less,Same
3708,20/10/2021,2021,10,N1,Female,Single,Gen Z,Student ,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3709,20/10/2021,2021,10,N1,Female,Married,Gen Z,Student ,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3710,20/10/2021,2021,10,N1,Male,Married,Gen Z,Student ,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3711,20/10/2021,2021,10,N1,Female,Married,Millennials,Salaried employee,Low Income,More,More,Same,Same,More,More,More,More,Same,Same,Same
3712,20/10/2021,2021,10,N16,Male,Dating,Millennials,Salaried employee,Low Income,More,More,Same,Less,Less,Less,Less,More,Same,Same,More
3713,20/10/2021,2021,10,N1,Male,Cohabiting,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3714,20/10/2021,2021,10,N1,Male,Dating,Gen X,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3715,20/10/2021,2021,10,N43,Male,Cohabiting,Millennials,Salaried employee,Low Income,More,More,Same,Same,Less,Less,Less,Same,Less,More,More
3716,20/10/2021,2021,10,N1,Female,Dating,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3717,20/10/2021,2021,10,N1,Female,Married,Millennials,Student ,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3718,20/10/2021,2021,10,N12,Female,Married,Millennials,Salaried employee,Low Income,Same,Less,Same,Less,Same,Same,Same,Less,Same,Same,Same
3719,20/10/2021,2021,10,N19,Female,Married,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3720,20/10/2021,2021,10,N19,Female,Dating,Millennials,Salaried employee,Middle Income,Same,Same,More,Same,More,Same,Same,More,Same,More,Same
3721,20/10/2021,2021,10,N19,Female,Married,Millennials,Salaried employee,Middle Income,Same,Same,Same,More,Same,Same,More,Same,Same,Same,Same
3722,20/10/2021,2021,10,N19,Female,Married,Millennials,Salaried employee,Middle Income,Same,Same,Same,Same,More,More,More,More,More,More,More
3723,20/10/2021,2021,10,N19,Female,Dating,Millennials,Salaried employee,Middle Income,Same,More,Same,More,Less,Same,More,Same,Not sure,More,More
3724,20/10/2021,2021,10,N47,Female,Single,Millennials,Unemployed,Low Income,Same,Same,Same,Less,Not sure,Less,Less,Not sure,Less,Less,Same
3725,20/10/2021,2021,10,N47,Male,Married,Gen X,Salaried employee,Middle Income,Same,Same,More,Less,Less,Less,Less,Less,Less,Less,Same
3726,20/10/2021,2021,10,N8,Male,Married,Baby Boomers,Business owner ,Middle Income,Same,Same,More,Same,Same,More,More,More,Same,Same,Same
3727,20/10/2021,2021,10,N22,Male,Married,Gen X,Salaried employee,Low Income,Not sure,More,Same,Same,Same,Not sure,Not sure,Not sure,Not sure,Same,Same
3728,20/10/2021,2021,10,N22,Female,Married,Millennials,Salaried employee,Low Income,Same,Less,Same,Same,Less,Same,Same,Less,Same,Same,More
3729,20/10/2021,2021,10,N22,Female,Married,Gen Z,Student ,Middle Income,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less,Less
3730,20/10/2021,2021,10,N8,Female,Dating,Gen Z,Business owner ,Middle Income,More,More,Same,More,Same,More,More,Same,More,More,Same
3731,20/10/2021,2021,10,M1,Male,Single,Millennials,Self employed/Contractor,Low Income,Same,More,Same,Same,Less,Less,Less,Less,Less,Less,Less
3732,20/10/2021,2021,10,M1,Female,Married,Millennials,Salaried employee,Low Income,More,More,Same,Same,Not sure,Same,Same,Same,Same,Same,Same
3733,20/10/2021,2021,10,M1,Female,Single,Millennials,Salaried employee,Low Income,Same,More,Same,Same,More,More,More,Same,Same,More,More
3734,20/10/2021,2021,10,N47,Male,Cohabiting,Gen X,Self employed/Contractor,Middle Income,Same,Same,Same,Same,Less,Less,Not sure,Less,Same,Same,Same
3735,20/10/2021,2021,10,N4,Male,Dating,Millennials,Salaried employee,Middle Income,Less,More,Same,Not sure,Same,Less,Same,More,Same,More,Less
3736,20/10/2021,2021,10,M1,Female,Married,Millennials,Salaried employee,Low Income,Less,Same,More,More,Same,Same,Same,Same,Less,Less,Same
3737,20/10/2021,2021,10,N16,Female,Married,Gen Z,Salaried employee,Low Income,Same,Same,More,Less,Not sure,Same,Same,More,Same,Less,More
3738,20/10/2021,2021,10,N47,Male,Married,Baby Boomers,Business owner ,High Income,Same,Same,Same,Same,Same,Less,Not sure,Less,Not sure,Less,Same
3739,20/10/2021,2021,10,N8,Female,Married,Millennials,Salaried employee,Low Income,Same,More,More,Same,More,More,More,Same,Same,Same,Same
3740,20/10/2021,2021,10,N16,Male,Married,Gen X,Salaried employee,Middle Income,More,Same,More,Less,Less,Same,Less,Same,Less,Same,More
3741,20/10/2021,2021,10,N8,Male,Dating,Baby Boomers,Business owner ,Middle Income,Same,More,Same,Same,More,More,Same,Same,More,Same,Same
3742,20/10/2021,2021,10,N8,Male,Cohabiting,Millennials,Salaried employee,Middle Income,Same,Same,More,Same,More,Same,Same,More,Same,Same,Same
3743,20/10/2021,2021,10,N8,Female,Single,Gen Z,Student ,Middle Income,More,More,More,Same,More,More,More,Same,Same,Same,More
3744,20/10/2021,2021,10,N16,Female,Single,Gen Z,Salaried employee,Low Income,Same,Same,More,Less,Not sure,More,Same,Same,Same,Less,Same
3745,20/10/2021,2021,10,N16,Male,Single,Gen Z,Student ,Low Income,Same,Same,Same,Less,Less,Less,Less,More,Less,Same,More
3746,20/10/2021,2021,10,N47,Female,Married,Gen X,Stay-at-home mom or dad,Middle Income,Same,Same,Same,Not sure,Not sure,Same,Not sure,Same,Less,Same,Same
3747,20/10/2021,2021,10,N16,Male,Married,Gen X,Business owner ,Middle Income,More,Same,More,Same,Not sure,Less,Less,Same,Less,Same,More
3748,20/10/2021,2021,10,N2,Male,Dating,Gen X,Business owner ,Middle Income,Same,Same,More,Same,More,More,Same,More,More,Same,More
3749,20/10/2021,2021,10,N2,Male,Married,Gen X,Business owner ,Middle Income,Same,More,Same,More,Same,Same,More,Same,More,Same,Same
3750,20/10/2021,2021,10,N2,Male,Married,Millennials,Salaried employee,Middle Income,Same,More,Same,Same,Same,More,More,Same,More,More,Same
3751,20/10/2021,2021,10,N1,Female,Dating,Millennials,Self employed/Contractor,Middle Income,Same,Same,Same,Same,Less,Same,Same,Less,Same,Same,Same
3752,20/10/2021,2021,10,N1,Female,Married,Millennials,Salaried employee,Middle Income,More,More,More,More,More,More,More,More,More,More,More
3753,20/10/2021,2021,10,N2,Female,Married,Millennials,Salaried employee,Middle Income,Same,Same,Same,More,Same,Same,More,Same,More,More,Same
3754,20/10/2021,2021,10,N1,Male,Dating,Millennials,Unemployed,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3755,20/10/2021,2021,10,N1,Male,Dating,Gen X,Salaried employee,Middle Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3756,20/10/2021,2021,10,N1,Male,Married,Millennials,Salaried employee,Low Income,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same,Same
3757,20/10/2021,2021,10,N22,Female,Single,Gen Z,Business owner ,Low Income,More,More,More,More,Less,Less,Less,Less,Less,More,Less
3758,20/10/2021,2021,10,N22,Female,Cohabiting,Millennials,Unemployed,Low Income,Less,Same,Less,Same,More,More,More,Same,More,More,Less
3759,20/10/2021,2021,10,N1,Female,Dating,Millennials,Self employed/Contractor,Low Income,Same,Less,Less,Same,Same,Same,Less,Same,Less,Less,Less
3760,20/10/2021,2021,10,N22,Male,Dating,Gen Z,Business owner ,Low Income,Same,Same,Less,Same,Same,Same,Same,Same,Same,Same,Same
3761,20/10/2021,2021,10,N22,Male,Married,Millennials,Salaried employee,Middle Income,Same,Not sure,Less,Not sure,Same,Same,Less,Not sure,Not sure,Same,More
