,Period,Location,Marital-status," Personal-Hygiene (eg Soap, toothpaste)",Cleaning-products ,"Fresh-groceries (Fruits, vegetables)",Medicines-Natural-remedies,Alcohol-beverages,Skin-care (eg. Body lotion),Hair-care (eg. Shampoo),"Entertainment (eg. Restaurants, movies)","Beauty (eg Makeup, cosmetics, haircuts)",Clothing,Airtime-Data-bundles
4983,3,63,5,3,3,3,3,3,3,3,3,3,3,3
3958,9,28,1,1,1,1,1,1,3,3,0,0,1,0
2696,4,69,0,3,3,2,2,2,2,2,2,2,2,3
2591,4,30,4,3,3,1,2,0,3,2,0,2,3,3
1781,1,35,3,3,3,3,3,3,0,3,1,3,1,1
3013,0,34,0,0,3,0,0,0,0,0,3,1,3,3
2307,11,25,3,1,1,1,1,3,3,0,0,3,3,1
4269,5,24,1,3,1,3,3,3,3,3,3,3,0,3
3690,9,42,3,1,1,0,0,0,3,0,0,0,0,3
687,12,49,4,0,0,0,0,2,0,0,0,0,0,0
612,12,41,6,3,0,1,0,1,0,3,2,3,1,3
3200,0,69,4,1,1,1,1,3,3,0,3,0,3,1
2267,11,67,4,0,0,3,3,1,3,3,1,3,3,3
6865,7,46,1,0,3,3,0,3,3,0,3,0,0,3
5440,13,27,0,3,3,3,3,3,3,3,3,3,3,3
1898,1,61,6,0,0,0,2,0,0,0,2,0,0,0
4519,5,71,4,1,1,1,1,3,3,3,3,3,3,3
258,2,23,4,0,3,3,2,0,0,0,0,0,0,3
2924,4,46,4,3,3,3,0,2,3,3,0,3,0,0
2822,4,22,6,0,0,0,0,0,0,0,0,0,0,0
3339,0,51,6,3,3,1,3,2,0,2,2,2,3,3
3525,9,41,1,1,0,3,2,3,0,0,3,2,3,3
2285,11,41,4,1,2,1,3,0,2,3,2,3,2,1
484,12,31,1,3,3,3,3,3,3,3,3,3,3,3
2211,11,57,4,2,3,3,1,1,2,1,0,3,2,0
4424,5,29,6,3,3,1,1,0,0,0,1,0,0,1
2555,4,64,4,1,1,3,1,3,3,3,0,3,0,1
7,2,24,4,3,1,1,3,0,0,1,3,3,3,1
3657,9,69,6,3,1,3,3,3,1,3,2,3,3,3
6068,10,66,3,3,1,3,3,3,3,0,0,0,3,3
2426,11,39,4,3,3,3,2,2,3,0,2,0,2,3
1814,1,56,4,0,3,1,1,3,3,1,1,1,1,3
2274,11,35,4,3,3,0,3,3,3,3,1,1,3,1
1011,6,24,1,3,3,3,3,0,2,2,3,2,3,3
4838,3,50,2,1,1,1,3,2,2,2,2,2,2,1
1067,6,31,1,3,3,3,3,3,3,3,3,3,3,3
1991,11,46,4,3,3,3,0,0,3,3,0,0,3,3
3970,9,28,6,1,1,1,1,3,3,3,0,3,3,1
5082,13,22,6,3,3,3,3,3,3,3,3,3,3,3
3867,9,64,6,3,3,0,3,2,3,0,0,0,0,0
6387,8,38,6,3,3,3,3,3,3,3,3,3,3,3
3048,0,39,4,3,3,3,0,2,3,0,3,3,0,3
781,12,48,6,3,3,3,3,0,0,0,0,0,0,0
6950,7,38,4,3,3,3,3,3,3,3,3,3,3,3
1749,1,45,4,3,3,3,2,0,0,3,3,3,3,3
2791,4,25,6,0,3,3,3,0,0,0,2,0,3,3
1091,6,22,4,3,3,3,3,3,3,3,3,3,3,3
4936,3,61,5,3,3,3,2,2,3,0,3,3,0,3
6098,8,34,1,0,1,3,3,0,1,0,1,3,3,0
6162,8,39,4,3,0,1,2,2,3,0,2,0,3,3
2608,4,35,4,1,1,1,3,0,3,0,0,0,3,1
5873,10,51,3,2,2,2,2,3,3,3,1,3,2,2
2290,11,69,4,3,3,3,3,3,0,0,3,2,0,1
1727,1,61,4,3,3,3,3,2,3,3,0,0,3,3
610,12,23,6,3,0,3,2,3,3,2,0,3,0,1
343,2,34,6,1,1,1,3,0,3,3,3,3,1,3
5834,10,38,6,3,1,3,1,3,3,3,3,1,3,1
3750,9,33,4,3,1,3,3,3,1,1,3,1,1,3
3215,0,25,4,3,1,3,1,2,1,1,0,3,1,1
97,2,42,0,0,0,0,0,0,0,0,0,0,0,0
4487,5,68,1,3,1,3,3,3,3,3,1,3,1,3
1537,1,50,1,1,1,1,1,2,3,3,3,0,3,3
3588,9,48,4,0,0,0,2,0,2,2,1,2,0,0
3648,9,26,6,3,3,3,3,0,0,0,0,0,0,0
5702,10,63,4,3,3,1,1,1,1,3,1,1,3,3
4417,5,45,1,3,1,0,0,2,3,3,3,3,3,3
1517,1,42,4,3,3,3,3,3,3,3,3,3,3,3
6300,8,26,6,0,0,0,0,0,0,0,0,0,0,0
4272,5,25,6,3,3,3,0,0,1,1,0,1,1,1
3669,9,69,4,1,1,1,1,1,1,1,1,1,1,1
2090,11,24,6,3,1,1,1,2,0,3,3,3,1,3
572,12,68,4,3,3,3,0,1,3,3,1,3,1,3
6507,8,57,0,3,1,2,3,2,1,3,1,3,1,1
5945,10,35,4,1,1,1,1,1,1,1,1,1,1,1
3062,0,39,4,3,3,0,2,2,3,2,2,3,3,3
4527,5,42,4,3,3,3,3,3,3,3,3,3,3,3
5278,13,26,6,3,3,3,3,0,0,0,0,0,0,3
4630,3,30,5,3,3,3,0,2,3,3,0,3,3,3
4981,3,64,2,1,1,1,3,2,3,3,0,0,1,3
370,2,58,1,0,0,0,2,2,0,0,0,0,0,0
1938,1,36,4,3,0,3,0,0,3,3,3,3,3,0
7010,7,32,6,3,3,3,3,3,3,3,3,3,3,3
6180,8,35,1,3,3,3,1,0,3,1,3,2,1,3
3670,9,69,6,3,3,3,0,0,0,0,3,3,0,0
3652,9,50,0,3,3,1,3,2,3,0,2,0,0,3
2361,11,64,4,3,3,3,0,2,3,3,0,3,3,3
4260,5,20,4,0,3,3,3,0,3,3,3,3,0,3
4449,5,27,0,3,3,3,3,2,3,3,0,0,0,0
6452,8,62,6,3,3,3,3,0,0,0,2,2,2,3
3737,9,29,4,3,3,1,0,2,3,3,1,3,0,1
5076,13,67,4,3,3,3,3,3,1,3,0,1,3,1
4927,3,60,2,3,3,3,3,3,3,3,3,3,3,3
4959,3,54,5,1,1,3,3,1,1,3,3,3,3,3
1171,6,62,1,3,1,3,2,3,0,2,2,3,1,3
4652,3,32,2,3,1,1,1,1,1,1,1,1,1,1
1422,6,48,6,3,3,3,3,3,3,3,3,0,0,0
6423,8,27,1,3,3,3,3,0,2,2,2,2,3,3
6301,8,26,6,3,3,3,3,3,3,3,3,3,3,3
4694,3,36,5,0,1,1,1,0,3,3,3,1,1,1
874,12,26,4,3,3,3,3,0,0,2,0,0,0,3
2297,11,68,4,3,1,3,1,3,3,0,3,0,3,1
2643,4,26,6,3,3,3,3,0,0,0,0,3,0,3
6203,8,35,1,3,3,3,1,1,1,3,1,1,3,1
840,12,68,0,3,3,3,3,3,1,3,1,3,1,1
581,12,61,4,3,3,3,0,2,0,0,0,0,0,3
204,2,23,4,0,0,3,2,2,0,0,0,3,0,1
1641,1,57,4,0,3,2,0,0,2,1,3,3,1,0
2014,11,46,4,3,0,0,1,0,0,0,0,0,0,0
3253,0,60,1,3,3,3,0,0,3,3,0,3,3,3
6372,8,42,4,1,1,1,1,0,3,3,0,3,0,0
905,12,39,0,0,0,3,0,2,3,2,0,3,0,1
631,12,30,3,3,3,3,3,2,3,1,3,3,3,1
5070,13,23,4,3,3,3,2,0,0,0,2,0,0,3
4584,3,25,7,3,3,3,3,3,3,3,3,3,3,3
1974,1,21,1,0,3,1,3,3,2,2,2,3,0,3
162,2,23,4,3,3,3,2,2,3,3,2,3,0,3
4879,3,56,2,3,3,3,1,1,1,1,1,1,1,1
6431,8,67,1,3,3,3,3,3,3,3,3,3,3,3
4546,3,20,7,1,1,3,3,0,0,3,0,0,3,1
875,12,57,4,3,3,3,3,3,3,3,3,3,3,3
1431,6,58,1,3,3,3,3,0,3,2,3,3,3,3
6032,10,32,4,3,3,3,3,3,3,3,3,3,3,3
5558,13,44,3,1,1,3,3,3,3,0,3,3,3,3
5367,13,40,4,1,1,1,3,0,2,2,3,2,1,1
2856,4,27,1,3,3,3,0,0,3,3,0,3,0,0
1861,1,33,4,3,0,3,3,0,3,3,0,0,3,3
2659,4,49,4,1,1,1,1,0,3,3,3,3,3,3
3384,0,57,3,3,0,1,1,1,3,1,3,3,1,2
6572,8,53,4,1,1,1,1,1,1,1,1,1,1,1
4728,3,39,5,3,3,3,0,2,3,0,2,0,0,3
3331,0,42,4,3,3,3,1,1,1,1,1,1,1,1
5860,10,51,3,2,1,1,1,0,2,1,1,1,1,2
5382,13,68,1,0,3,3,1,0,3,1,3,1,3,1
4984,3,63,5,3,3,3,3,3,3,3,3,3,3,3
2096,11,22,1,0,0,0,0,0,0,0,0,0,0,0
2003,11,58,4,3,3,3,3,2,0,0,0,0,3,3
546,12,58,0,3,0,3,0,2,3,3,2,3,3,3
1449,6,37,6,3,3,0,0,2,3,3,3,3,1,1
4953,3,62,5,1,3,3,1,1,3,0,2,0,1,1
2610,4,42,3,0,0,0,0,0,0,0,0,0,0,0
1900,1,34,4,3,0,3,3,2,3,0,3,3,3,1
6366,8,32,1,1,1,3,3,1,1,3,3,1,1,1
2757,4,31,4,1,1,3,3,3,1,1,1,1,0,1
1885,1,25,1,3,1,1,3,1,0,0,1,3,3,1
6921,7,40,4,1,1,3,1,3,3,3,3,1,3,3
2097,11,26,4,3,3,3,3,0,0,0,0,0,0,3
6227,8,24,1,3,3,1,2,0,0,0,0,0,1,1
6430,8,67,3,3,3,3,3,3,3,3,3,3,3,3
836,12,69,4,3,3,3,0,0,3,2,3,2,0,3
3471,0,45,4,3,3,3,3,3,3,3,3,3,3,3
6797,7,52,4,3,3,3,3,2,3,3,2,3,3,3
2171,11,36,4,3,1,1,3,3,0,1,3,2,1,1
6153,8,60,4,1,1,1,1,1,1,1,1,1,1,1
6097,8,33,1,1,3,1,1,3,3,3,1,3,3,3
398,2,21,6,1,1,0,0,2,1,1,2,0,1,1
2010,11,41,6,3,1,2,3,0,3,2,3,3,2,3
6878,7,33,1,1,3,1,1,0,0,0,0,0,3,1
1283,6,25,4,3,3,3,0,0,0,0,0,0,3,1
5036,3,68,5,3,3,1,0,1,1,3,3,3,1,1
5228,13,63,4,3,1,1,1,1,3,1,3,3,1,3
4256,5,30,6,3,3,3,3,2,3,3,0,3,0,3
1836,1,62,4,3,0,0,3,2,0,1,3,3,0,3
1019,6,58,4,3,0,1,2,0,2,2,3,2,3,3
1326,6,61,4,3,3,3,3,3,3,3,3,3,3,3
5756,10,22,4,1,1,1,1,1,1,1,1,1,1,1
475,2,27,1,3,3,0,0,0,0,0,0,0,0,0
2810,4,31,1,1,1,0,2,0,0,2,0,2,0,0
5372,13,34,4,1,0,3,0,3,3,1,3,3,3,0
1651,1,50,3,1,1,1,1,3,3,3,3,0,0,3
6643,7,66,4,3,3,3,3,3,3,3,0,3,3,3
6120,8,41,4,3,0,1,3,3,3,3,3,3,3,3
2528,4,69,0,3,3,3,3,3,0,0,0,0,0,3
1206,6,69,0,3,3,0,2,0,3,2,0,0,2,3
4645,3,32,7,1,1,1,1,1,1,1,3,3,3,3
5507,13,64,4,3,3,1,2,2,3,3,0,3,3,3
4504,5,71,4,1,1,1,3,3,3,0,0,0,0,0
867,12,24,1,3,3,0,3,2,3,0,3,0,3,3
2974,0,65,4,1,1,3,3,3,3,3,0,3,0,1
541,12,50,0,3,3,3,0,0,3,0,1,2,1,1
1132,6,41,1,1,0,3,3,1,3,3,1,1,3,1
7000,7,22,6,3,3,3,3,3,3,3,3,3,3,3
3390,0,54,4,3,1,1,1,1,3,1,3,0,3,3
5143,13,67,1,3,3,3,1,3,1,3,1,3,1,1
2962,4,51,6,3,3,3,0,2,0,0,2,0,2,3
4155,5,39,4,3,3,3,2,2,3,2,2,3,0,1
3259,0,55,3,3,3,3,3,0,3,3,0,0,3,3
4641,3,31,5,1,1,1,1,3,3,3,3,0,3,3
7071,7,25,6,0,0,0,0,2,2,2,0,2,0,0
2583,4,24,4,1,3,1,1,3,1,3,1,3,1,3
2813,4,58,0,1,3,3,3,0,3,2,0,2,3,1
5556,13,65,1,3,3,3,3,2,0,0,0,3,0,3
6204,8,55,4,3,3,3,3,3,3,3,3,3,3,3
4919,3,60,7,3,3,3,3,3,3,3,3,3,3,3
3586,9,39,4,0,0,0,0,2,0,2,2,0,0,3
4677,3,34,2,0,0,0,2,0,0,2,2,0,3,3
6094,8,65,4,3,3,0,0,2,0,2,0,0,0,0
2630,4,62,4,3,3,3,3,2,2,3,3,2,2,2
5738,10,55,4,0,0,0,0,0,0,0,0,0,0,0
4553,3,20,2,1,1,1,1,2,3,0,0,0,0,3
1080,6,65,4,3,3,3,3,3,3,3,3,0,0,3
4283,5,39,6,3,3,3,2,2,3,2,2,3,0,3
2085,11,45,1,3,3,3,3,3,3,3,3,3,3,1
2452,11,68,4,3,3,3,3,3,3,3,3,3,3,3
2023,11,63,4,3,3,3,3,3,3,3,3,3,3,3
5500,13,52,4,3,3,3,3,3,3,3,3,3,3,3
226,2,21,4,0,0,0,3,1,1,1,1,2,2,0
1013,6,29,4,3,3,3,2,2,3,3,3,3,3,3
1929,1,30,4,3,3,0,3,0,3,3,3,3,3,3
5040,3,68,5,3,0,3,3,0,3,3,0,3,0,3
1404,6,29,6,3,2,2,2,2,3,3,0,3,3,1
2179,11,21,1,1,1,3,1,1,1,1,1,1,1,1
697,12,25,6,1,1,1,3,1,3,3,1,3,1,1
1124,6,22,1,1,1,1,1,1,1,1,1,1,1,1
3895,9,49,6,3,3,3,3,2,0,0,0,0,0,1
1778,1,25,4,0,0,1,0,2,2,2,3,3,3,3
4558,3,23,5,3,3,3,2,3,3,0,2,3,0,1
2634,4,26,1,3,3,3,3,0,0,0,0,0,0,0
3489,9,65,3,3,3,3,2,2,2,2,2,2,3,3
1037,6,26,6,3,3,3,0,0,0,0,0,0,0,0
2256,11,25,4,3,1,1,0,0,3,0,0,0,0,3
6041,10,54,1,0,0,3,0,3,0,1,3,1,0,0
7079,7,24,1,3,3,3,3,2,3,0,0,0,0,3
313,2,65,4,3,3,3,3,2,0,0,0,0,0,3
2649,4,31,1,1,1,3,2,2,1,1,0,3,3,3
2281,11,45,4,3,3,0,2,0,0,0,0,0,0,3
5125,13,33,4,1,3,1,1,1,3,1,1,1,3,3
2547,4,42,1,3,3,3,3,3,3,3,3,3,3,3
2159,11,61,1,3,3,3,0,3,3,3,0,3,3,3
3137,0,39,4,1,1,3,2,0,3,0,2,3,0,3
5952,10,35,4,3,3,3,3,3,3,3,3,0,0,1
3967,9,28,6,1,1,1,3,2,3,3,0,0,0,3
1428,6,34,4,3,3,1,1,0,0,0,0,0,0,0
6510,8,61,4,3,3,3,3,3,3,3,3,3,3,3
2520,4,57,4,1,1,1,1,1,3,3,2,0,0,0
5099,13,25,6,3,3,3,3,2,3,3,3,3,0,3
5286,13,30,3,3,3,3,3,3,1,3,3,3,0,3
448,2,36,3,0,3,3,2,1,3,1,3,1,1,1
4507,5,71,4,1,1,1,1,3,3,0,0,0,0,0
1284,6,67,4,3,3,3,0,0,3,0,0,3,3,3
3727,9,36,4,2,1,3,3,3,2,2,2,2,3,3
361,2,22,1,1,1,1,1,1,1,1,1,1,1,1
5773,10,67,4,3,3,3,3,3,3,3,3,3,3,3
5710,10,52,4,3,3,3,3,3,3,3,3,3,3,3
2460,11,22,1,3,3,3,3,3,3,3,3,3,3,3
22,2,39,4,3,1,3,2,2,3,0,0,0,0,3
2066,11,39,6,3,3,3,2,2,3,3,0,3,3,3
1653,1,35,4,3,1,3,3,3,3,3,0,1,1,1
702,12,34,3,1,1,0,0,0,0,0,0,1,1,1
5178,13,42,4,3,1,1,1,3,3,3,3,3,3,3
2743,4,63,4,3,3,1,0,0,0,0,0,0,3,3
1376,6,65,1,3,3,3,3,2,3,3,3,0,0,3
5823,10,27,6,3,3,3,3,3,3,3,3,3,3,3
2468,11,62,1,1,0,2,0,1,2,2,2,2,2,2
3754,9,22,1,3,3,3,3,3,3,3,3,3,3,3
2325,11,56,4,0,3,1,1,1,3,1,1,3,3,1
460,2,41,1,0,1,0,2,0,3,3,0,3,3,3
4183,5,55,1,3,3,3,3,3,3,3,3,3,3,3
4082,5,30,1,3,3,3,3,0,3,3,0,3,3,3
1486,6,30,1,3,3,3,0,0,3,3,3,0,3,3
3678,9,63,4,3,3,3,3,3,3,3,3,3,3,3
282,2,63,4,3,3,3,3,3,3,3,3,3,3,3
4308,5,26,0,3,3,3,3,3,3,3,3,3,3,3
3537,9,60,4,3,3,3,3,3,3,3,3,3,3,3
5022,3,66,5,1,1,3,3,0,0,0,0,0,3,3
2581,4,41,1,2,0,1,0,2,3,0,1,1,2,3
1368,6,25,4,3,3,3,2,2,3,3,2,3,3,3
6455,8,68,4,0,3,0,3,1,3,3,1,3,3,3
5337,13,56,6,3,1,1,1,3,3,1,3,3,1,3
597,12,29,1,3,3,3,0,0,0,0,3,3,3,1
4351,5,33,1,1,3,3,3,0,1,3,0,1,3,3
5819,10,38,4,3,1,1,1,3,3,3,0,3,1,1
7109,7,16,1,3,1,0,3,1,3,3,3,1,3,3
6744,7,58,4,1,1,1,1,2,1,0,2,2,0,0
6926,7,40,4,1,1,3,3,3,3,3,3,3,3,3
3468,0,68,6,1,3,0,0,1,3,0,3,0,3,1
5934,10,59,4,1,3,3,3,1,1,3,1,1,3,1
2990,0,34,6,0,2,0,0,0,3,3,3,0,0,3
6368,8,58,4,0,3,0,3,2,2,2,2,2,2,3
2544,4,35,1,3,3,0,3,3,1,3,1,3,1,3
5314,13,27,4,3,3,3,3,0,3,3,0,3,0,0
5238,13,49,4,3,3,3,3,0,3,0,0,0,0,1
4066,5,65,4,1,1,1,3,3,3,3,3,3,3,3
3988,9,24,1,1,1,3,3,2,3,3,3,3,3,3
6917,7,41,6,3,3,1,0,1,3,2,3,0,0,1
685,12,45,4,1,1,1,0,3,0,0,3,0,3,1
4556,3,23,5,1,1,3,0,2,0,0,2,0,0,3
3243,0,64,6,3,0,0,3,2,3,3,0,0,0,0
5542,13,51,1,3,3,3,3,3,3,3,3,3,3,3
4083,5,30,4,3,3,3,0,2,3,2,2,2,2,1
2837,4,34,6,1,1,1,1,0,1,1,0,1,3,0
3697,9,51,6,3,3,3,3,3,3,3,3,3,3,3
4040,5,48,0,1,1,3,3,0,0,3,3,0,0,0
2230,11,33,4,3,1,3,3,3,0,3,3,3,0,3
5221,13,35,4,3,3,3,1,3,3,3,3,3,1,1
2320,11,24,6,3,3,1,2,0,3,3,3,2,3,3
521,12,48,6,3,3,3,3,3,3,3,3,3,3,3
522,12,48,6,3,3,3,0,3,3,3,3,3,3,3
5594,10,42,4,3,3,1,1,2,2,3,1,0,3,3
5767,10,39,4,1,1,1,2,2,3,3,2,0,3,1
6060,10,44,4,1,1,3,3,3,3,3,1,1,1,1
5400,13,68,1,0,3,0,0,1,1,3,3,1,0,1
780,12,26,6,3,3,3,0,3,3,0,0,0,0,0
5605,10,41,4,3,0,0,0,3,3,3,0,3,3,1
5528,13,51,4,1,1,1,1,0,0,0,0,0,0,0
651,12,21,4,3,3,3,1,2,0,3,3,3,1,3
5333,13,56,6,3,1,1,1,2,2,2,2,1,1,1
2196,11,23,4,0,3,1,0,0,3,0,0,3,0,3
369,2,61,6,3,3,0,2,2,0,0,0,0,0,0
4687,3,35,5,0,0,3,3,1,3,3,3,3,3,1
4214,5,22,4,3,3,3,3,3,3,3,3,3,3,3
377,2,31,6,0,0,0,3,2,2,2,1,2,3,3
5023,3,67,5,1,1,1,1,0,1,1,3,3,1,1
2216,11,25,4,1,1,1,1,0,0,0,0,0,3,1
6225,8,24,0,3,3,1,2,2,3,0,0,3,3,3
1613,1,42,4,3,3,3,3,3,3,3,3,3,3,3
6424,8,27,1,3,3,3,3,3,3,3,3,3,3,3
3632,9,27,6,3,3,3,0,0,2,2,0,0,0,3
962,12,33,4,3,1,3,1,3,3,3,1,1,3,3
6443,8,25,0,3,1,3,3,0,3,3,0,0,0,0
6715,7,61,4,3,3,3,3,0,0,0,0,0,0,3
5455,13,24,4,3,0,1,2,3,1,3,1,1,3,3
359,2,34,6,1,3,3,3,3,3,3,0,3,3,3
3839,9,67,4,1,1,1,1,1,1,1,1,1,1,1
4782,3,33,5,1,3,3,3,3,3,1,3,1,3,3
1246,6,54,4,3,3,3,3,0,0,3,0,0,0,0
4986,3,63,5,3,1,3,3,3,1,3,3,3,3,3
3694,9,51,4,3,3,3,3,2,2,3,0,3,3,3
6048,10,54,1,0,3,0,3,3,3,3,1,0,3,3
2567,4,69,4,3,3,1,0,2,3,0,0,0,0,3
3423,0,48,6,3,3,3,3,3,0,0,0,0,0,0
2037,11,50,3,1,1,1,1,1,0,0,0,0,3,3
772,12,42,6,0,0,3,0,3,3,0,0,0,0,0
6579,8,44,6,3,3,0,3,3,2,3,3,0,1,1
3562,9,60,4,1,1,1,1,1,1,1,1,1,1,1
6774,7,55,1,3,3,3,3,3,3,3,3,3,3,3
6542,8,66,1,3,3,3,3,3,3,3,3,3,3,3
4730,3,39,5,3,3,3,2,2,3,2,2,3,2,3
4531,5,42,1,3,3,3,3,3,3,3,3,3,3,3
1674,1,63,4,3,3,3,3,3,3,3,3,3,3,3
365,2,58,3,0,3,3,1,2,0,2,2,3,3,3
4693,3,36,5,3,3,1,3,0,0,0,0,3,3,1
4625,3,29,7,1,1,1,1,0,3,3,1,3,0,1
4327,5,24,6,3,3,3,3,3,3,3,1,3,3,3
147,2,56,4,3,3,3,3,1,3,1,3,3,1,3
6291,8,39,4,1,1,1,2,3,3,3,2,3,3,1
3088,0,39,4,3,1,1,2,2,3,0,2,3,2,1
5652,10,63,6,3,3,0,1,2,0,0,3,0,0,0
407,2,26,6,3,3,3,0,0,0,0,0,0,0,0
6609,8,66,0,3,3,3,3,3,3,3,3,0,0,3
3456,0,42,4,0,3,3,3,3,3,3,3,3,3,3
4182,5,55,4,1,1,1,1,1,1,1,1,1,1,1
3576,9,55,6,3,3,3,3,3,3,3,3,3,3,3
3271,0,69,4,3,3,3,0,3,0,0,0,0,0,1
1031,6,62,4,0,3,0,1,3,3,1,0,2,3,0
5362,13,34,3,3,0,0,1,3,0,3,1,0,0,3
855,12,56,4,0,3,3,3,3,3,3,3,3,3,3
3926,9,30,6,2,2,2,2,2,2,2,2,2,2,2
78,2,50,4,3,0,1,0,2,1,3,0,1,1,3
2247,11,49,4,3,3,1,0,0,0,0,0,0,3,3
6149,8,63,4,3,1,1,1,1,3,1,3,3,1,3
6536,8,50,4,1,1,1,0,2,3,3,0,3,3,1
6582,8,44,3,3,0,0,3,3,1,3,3,3,0,3
5969,10,29,4,1,1,1,3,2,0,0,1,0,0,1
788,12,29,4,3,3,3,0,0,0,0,0,0,3,1
2279,11,45,4,3,1,1,0,0,3,3,0,3,0,1
4095,5,62,1,3,1,0,1,3,2,0,1,3,2,3
3897,9,30,4,3,3,1,3,2,3,3,3,3,3,1
4655,3,22,2,1,1,1,1,1,1,1,1,1,1,1
5948,10,35,4,3,1,1,3,3,1,3,1,1,1,3
3631,9,50,4,0,0,2,0,2,0,0,2,0,0,3
5356,13,40,6,1,1,3,1,3,3,3,3,3,3,3
424,2,61,6,3,3,3,2,0,0,2,0,2,0,3
392,2,26,6,3,0,3,0,0,0,0,0,0,0,0
5339,13,56,6,3,1,1,2,1,1,1,1,2,2,1
6757,7,57,1,2,1,3,3,3,2,0,2,0,3,1
4200,5,64,4,3,3,3,0,0,2,3,0,3,0,0
2672,4,22,4,3,3,3,3,3,3,3,3,3,3,3
6547,8,53,4,0,3,1,1,3,3,3,3,3,3,3
4830,3,49,5,3,3,3,3,3,3,3,3,3,3,3
3493,9,65,1,3,3,3,3,3,3,0,0,0,3,3
1459,6,45,1,3,0,1,2,2,3,3,3,3,3,3
5162,13,55,4,3,3,3,3,3,3,3,3,3,3,3
4739,3,40,5,0,3,3,3,3,3,3,3,3,3,3
3835,9,67,4,3,3,1,3,1,3,3,3,1,3,3
5543,13,64,4,1,2,1,2,2,1,1,0,1,0,0
6814,7,50,6,1,1,3,0,2,3,3,2,3,0,1
5559,13,65,4,3,3,1,1,3,3,3,3,2,2,2
2355,11,65,6,1,1,3,3,3,0,0,0,0,0,0
2442,11,24,4,1,3,3,0,2,3,3,3,3,3,3
6568,8,51,1,0,3,1,3,2,1,1,3,1,1,3
5572,13,47,4,1,1,1,2,1,1,2,0,0,0,0
464,2,64,1,3,3,3,0,2,2,2,0,0,0,0
163,2,35,4,3,1,1,3,2,3,3,1,3,3,3
6218,8,24,1,3,3,3,1,0,0,0,0,0,3,1
6411,8,27,1,3,3,3,3,0,2,2,2,2,0,0
6861,7,46,6,0,3,0,0,0,3,3,0,1,3,3
7100,7,23,4,3,3,3,3,2,3,3,2,3,3,3
2009,11,27,4,3,3,3,3,3,3,3,3,3,3,3
3084,0,22,1,3,3,3,3,3,3,3,3,3,3,3
900,12,31,4,3,3,3,3,3,3,3,3,3,0,3
5608,10,41,6,1,0,1,0,3,0,1,0,1,3,3
2293,11,46,6,3,0,3,2,2,3,3,0,3,3,3
4481,5,57,1,3,2,0,0,0,3,1,3,2,1,3
4605,3,27,2,0,0,0,0,0,0,2,0,2,0,0
3716,9,22,1,3,3,3,3,3,3,3,3,3,3,3
5942,10,35,6,3,3,3,1,3,3,1,3,1,3,1
1764,1,24,4,3,1,1,1,1,3,3,1,0,3,1
1549,1,68,1,3,3,3,0,3,3,3,3,0,3,3
3029,0,41,4,3,0,1,0,1,0,2,2,1,3,3
5404,13,46,1,1,1,1,3,2,3,3,0,3,3,3
2044,11,35,1,3,0,3,1,3,3,3,3,1,1,3
767,12,34,1,3,1,0,1,3,1,1,1,1,3,0
1508,1,42,0,0,3,1,3,3,1,0,0,3,3,0
6957,7,37,4,3,3,3,3,3,3,3,3,3,3,3
4517,5,71,4,1,1,1,1,1,1,1,1,3,3,3
4219,5,25,4,3,3,1,3,2,3,0,0,0,2,3
6003,10,46,6,1,1,3,2,2,3,3,0,3,0,0
4678,3,34,5,3,3,1,2,0,3,0,2,3,3,1
3292,0,73,1,1,3,0,1,3,3,0,1,0,1,1
819,12,50,3,3,3,3,0,0,2,2,2,2,3,3
1403,6,26,6,0,0,0,0,0,0,0,0,0,0,0
1382,6,58,0,3,1,1,0,2,3,3,0,3,3,3
2148,11,35,4,3,1,1,1,0,3,3,3,3,3,1
1638,1,45,1,1,3,1,3,2,3,3,3,3,0,1
6885,7,33,1,1,1,1,1,0,0,0,0,3,3,3
399,2,21,6,1,0,3,1,2,3,0,2,0,1,1
882,12,29,4,3,2,0,3,2,2,2,2,2,3,3
3565,9,63,4,3,3,3,3,3,3,3,3,3,3,3
6840,7,48,4,0,3,3,3,3,1,3,3,3,3,0
1179,6,58,0,0,3,1,3,2,0,0,0,3,3,3
4244,5,38,3,3,3,3,3,0,1,1,0,0,0,0
4878,3,56,2,0,3,3,3,1,1,1,1,3,3,3
2130,11,63,4,1,1,3,3,0,0,0,0,0,3,3
456,2,36,1,1,1,1,1,1,3,3,3,1,1,1
1950,1,30,4,3,3,3,3,2,3,0,0,3,0,3
689,12,67,4,3,3,1,1,2,0,0,3,0,3,0
5662,10,47,4,1,1,1,1,1,1,1,1,2,1,1
1953,1,68,1,3,1,3,1,3,3,0,0,3,3,3
2710,4,27,1,0,3,3,3,2,3,3,0,3,3,3
5307,13,61,6,3,3,3,2,2,3,0,0,3,0,0
4349,5,33,4,1,1,3,1,0,3,3,1,1,3,3
6214,8,35,1,3,3,0,1,3,3,1,3,2,1,1
1884,1,61,3,0,0,0,0,2,0,0,0,0,0,0
5388,13,29,6,1,1,1,0,0,0,0,1,0,0,1
6326,8,57,1,2,1,1,1,1,1,3,1,2,3,2
2494,4,35,4,1,1,3,1,2,3,3,3,3,3,1
3036,0,59,6,1,1,1,3,2,3,3,1,1,3,3
